Sig_Gene	Cell_type	Level	Rank	Mean	Std	Cell_type_unseparated
C1qtnf7	Peri	0	103	0.6549927434646319	1.0613113613174852	
Gpc3	Peri	0	104	0.7828947674186941	1.273871881303707	
Gpx8	Peri	0	105	0.4738443707200035	0.7736452557408359	
Enpep	Peri	0	106	0.6619977964931614	1.09615571661543	
Ppfibp2	Peri	0	107	0.4071594992298607	0.6817659438877831	
Slc1a5	Peri	0	108	0.48102193800387494	0.8160433463568514	
Bmp5	Peri	0	109	0.6024600860512154	1.0286228389442855	
Gm26719	Peri	0	110	0.5041290450490891	0.8941535420571213	
Pear1	Peri	0	111	0.5252020248120912	0.9405615161203793	
Fap	Peri	0	112	0.46488082179827817	0.8414528012370474	
Ppp1r14a	Peri	0	113	0.5433585274011457	0.996333280014006	
Rasl12	Peri	0	114	0.6333360973005111	1.1637863873000605	
Tec	Peri	0	115	0.5724933234327731	1.0686676290516481	
Axl	Peri	0	116	0.46801232823525113	0.8835068434374717	
Frk	Peri	0	117	0.4817283871908872	0.9159841066791181	
Ptpn22	Peri	0	118	0.42314625384006654	0.812226700612375	
Hey2	Peri	0	119	0.32186118267592884	0.6372097740365589	
Pcdh18	Peri	0	120	0.6592397098053141	1.3300897745323037	
Gm30624	Peri	0	121	0.6660214166226435	1.3623180926332297	
Plscr1	Peri	0	122	0.2744783243671983	0.6531361245164629	
AW011738	Peri	0	123	0.19772630522448512	0.4976357472887072	
Ebf1	Peri	1	124	10.109281194390112	5.237956966157091	Endo
Ptn	Peri	1	125	13.238205661254241	7.795620023441984	OPC
Grm7	Peri	1	126	15.715097036611255	10.16220629636086	L5 ET
Plxdc2	Peri	1	127	8.558496681664483	5.733783258574997	Pvalb
Ctdspl	Peri	1	128	4.1134960594073595	2.7815336635532493	L5 ET
Rbpms	Peri	1	129	4.781865393630508	3.255858567624555	Endo
Plce1	Peri	1	130	4.319707366446374	2.985641357017896	OPC
9530026P05Rik	Peri	1	131	4.118783763398703	2.875263868579094	Endo
Igfbp7	Peri	1	132	5.917939162165601	4.309071606146777	Endo
Tns1	Peri	1	133	2.2828194775080104	1.6673641373754635	Endo
Sgms1	Endo	0	1	14.575530774274	7.930470262896391	
Flt1	Endo	0	2	18.72964659081379	10.971447761622844	
Slco1a4	Endo	0	3	15.824837656545688	9.7771772842731	
Igf1r	Endo	0	4	15.635303213850365	9.757486744840334	
Rundc3b	Endo	0	5	6.425557278921672	4.499351465674566	
Adgrl4	Endo	0	6	13.20358248651323	9.312591045991697	
Paqr5	Endo	0	7	3.233569746560495	2.280703434961057	
Gpcpd1	Endo	0	8	10.088587941839432	7.159550429603792	
Epas1	Endo	0	9	5.932178778892119	4.294809761133901	
Atp10a	Endo	0	10	7.245217723999984	5.291891441223599	
Slc2a1	Endo	0	11	13.720843323039338	10.063513421651738	
Mecom	Endo	0	12	9.05180059687633	6.674535985424341	
Abcg2	Endo	0	13	6.17104708344252	4.568278480693298	
Ptprb	Endo	0	14	6.425492356342671	4.760003566627994	
Lef1	Endo	0	15	4.380941415855104	3.3168157000288	
Nostrin	Endo	0	16	4.566901163494748	3.5324774572276776	
Kank3	Endo	0	17	3.07055500081436	2.4179839669541803	
Bcl2l1	Endo	0	18	3.3593440940529775	2.6653418870523327	
Abcb1a	Endo	0	19	5.433583615840311	4.315256677880733	
Ccdc141	Endo	0	20	6.986493008814012	5.582170648555797	
Heg1	Endo	0	21	5.1009170856028385	4.14185977039352	
Adgrf5	Endo	0	22	3.75811195924132	3.063215981876081	
Pecam1	Endo	0	23	3.7466501671790775	3.103920951837898	
Fli1	Endo	0	24	3.1110465108802017	2.6657769651457	
Arl4a	Endo	0	25	2.929036824696588	2.509901769599529	
Cyyr1	Endo	0	26	3.138194287796864	2.691255177539283	
Pltp	Endo	0	27	10.135389717788648	8.720228950687762	
Spock2	Endo	0	28	8.158474594941817	7.023155631023935	
Abcc4	Endo	0	29	3.8738425547793556	3.3385163697636453	
Klf2	Endo	0	30	15.254168161839837	13.396123244035671	
Slco1c1	Endo	0	31	6.065599277116859	5.337114867941688	
Wasf2	Endo	0	32	2.82901301321954	2.4947066206200446	
Kitl	Endo	0	33	4.234742145584498	3.7378263736526347	
Slc7a5	Endo	0	34	3.858187099611092	3.41060122200078	
Myo10	Endo	0	35	2.9729670172548524	2.6690761104603737	
Palmd	Endo	0	36	3.876038975616667	3.4846000038756473	
Tbc1d4	Endo	0	37	4.939560210568562	4.445030952537549	
Eng	Endo	0	38	3.169146303782817	2.8687082127747994	
Clic4	Endo	0	39	4.856413162665185	4.431886265734606	
Hspa12b	Endo	0	40	2.124963535809157	1.9568343152183731	
Prkch	Endo	0	41	2.049439638655841	1.9033921302333678	
Esam	Endo	0	42	2.2115730387203585	2.055649119113325	
